"","none","0.02","0.03","0.05","0.10","0.25","0.50","days","Markets (53)","Market (Saquisili)","Market (Asogan)","Premises (each province)","Collectors (10)","All degree (10)","Page rank (10)"
"1",0.0499962649535253,0.0499962649535253,0.0499962649535253,0.0499962649535253,0.0499962649535253,0.0499962649535253,0.0499962649535253,0,0.0499962649535253,0.0499962649535253,0.0499962649535253,0.0499962649535253,0.0499962649535253,0.0499962649535253,0.0499962649535253
"2",0.00493026134653761,0.050721931125743,0.0520985625406853,0.0513622248071115,0.0517250578932204,0.0507005880030307,0.0503270833555658,1,0.0504124558464149,0.0511167788959203,0.0511914798254133,0.0503590980396342,0.0510634210891396,0.050572529266757,0.0505618577054009
"3",0.149444545231413,0.0642321278026188,0.0661316657240121,0.0620551292859658,0.0625993789151291,0.0576477744458792,0.0525681112403556,2,0.0508393183006606,0.052301322206452,0.0523226653291643,0.0507752889325237,0.0520238616111923,0.0512128229481255,0.0508606614233729
"4",0.252126308600211,0.0775929226205086,0.0790335834035878,0.0745942138794327,0.0742313807933239,0.0647123480636452,0.0552146584566788,3,0.051095435773208,0.0533898214647785,0.0533044489739294,0.0510847642118518,0.053197733360368,0.0518637881908502,0.0512661807549063
"5",0.326186944411837,0.0905055118614404,0.0921062460648617,0.086866509438996,0.0855752505149028,0.0717982648041235,0.0577651616207967,4,0.0514475972979607,0.0544569776003927,0.0542755610573383,0.0514689404206729,0.0542648894959822,0.052525424994931,0.0515756560342344
"6",0.378744384090836,0.103738247943057,0.105018835305794,0.0982744085287118,0.0958626356622237,0.0789375393513825,0.060486409766613,5,0.0519171459976309,0.0555027906132946,0.0553854034383771,0.0519384891203432,0.0552466731407472,0.0531337039922311,0.0520452047339046
"7",0.417844984899741,0.117024341831453,0.118134184212492,0.109831709477414,0.106918373227187,0.085212417428794,0.0631009422988677,6,0.0523333368905205,0.0566019614329773,0.0565272605034843,0.0523866946973012,0.056431216451279,0.0537846692349558,0.0524293809427257
"8",0.445612387548422,0.129157907093387,0.131313562487328,0.121079535146787,0.117195086813152,0.0916580404879038,0.0656194307789173,7,0.0527175130993416,0.0575730735163862,0.0576157597618107,0.0528349002742591,0.0573382991665511,0.0543075757414067,0.0528455718356153
"9",0.466144471597639,0.140395061201404,0.143479142433329,0.13213527271175,0.127578516012678,0.0976661295314117,0.0679671742772685,8,0.0532617627285048,0.0585228424770828,0.0586722443360688,0.0532510911671487,0.0585441855997951,0.0549371978614191,0.0533578067807101
"10",0.482023754895579,0.151845646536545,0.15581546736103,0.142006466966182,0.137214935917274,0.103951679170179,0.0704643196346057,9,0.0536992967441066,0.0595579839286286,0.0597607435943953,0.0537526545508873,0.0597180573489707,0.0557482365244859,0.0537313114281751
"11",0.493324938371733,0.163755109009999,0.167298067380238,0.151909675904682,0.147043443926281,0.109735665425208,0.0729401218692307,10,0.0542862326186944,0.0605184244506814,0.0608812575367902,0.0542222032505576,0.0606464831869551,0.0564418880126351,0.0542648894959822
"12",0.501275251582059,0.174405327243429,0.178812682083516,0.162346462910989,0.156263672937988,0.115658381977867,0.0751384635085959,11,0.0547557813183647,0.0613721493591727,0.0620978155313904,0.0547557813183647,0.0618096833747746,0.0570181523258668,0.0548198106865015
"13",0.507507443414046,0.185365020756187,0.189943120577972,0.172121613113215,0.164971667004599,0.121538412285101,0.0772407610957559,12,0.0553107025088841,0.0623752761266501,0.0630048982466625,0.0553533887543086,0.0628875110717449,0.057637102884523,0.0553427171929525
"14",0.512491062567364,0.19581247932385,0.200529309443265,0.181875420192728,0.173754362000704,0.127205011365213,0.0793857449283405,13,0.0557695796471982,0.0633784028941274,0.0639866818914275,0.0559403246288965,0.0639973534527837,0.0583627690567407,0.0558762952607596
"15",0.515884619078617,0.205630315771501,0.210549905556682,0.190850203293244,0.182419669821892,0.132647507656845,0.0812212534815969,14,0.0562284567855123,0.0645416030819469,0.065075181149754,0.0566019614329773,0.0651392105178909,0.0589390333699724,0.0563138292763614
"16",0.518456465365448,0.215245392553384,0.220698560406373,0.199910358884608,0.190209909611875,0.137919258966779,0.0832808648233323,15,0.0567727064146755,0.0656941317084103,0.0661423372853682,0.0572315835529896,0.0660996510399437,0.0596326848581216,0.0568367357828124
"17",0.52016391518243,0.224753753721707,0.230356323433682,0.208500965776303,0.198555070592378,0.142625417524838,0.0852657752355747,16,0.0571248679394282,0.066803974089449,0.0671988218596263,0.057786504743509,0.0671241209301333,0.0603796941530515,0.0574023285346879
"18",0.521476517229236,0.233675179015442,0.239373792779622,0.216686053336464,0.205918447928116,0.14745963481917,0.0870265828593381,17,0.057711803814016,0.0677430714887895,0.0682126201884598,0.0583627690567407,0.0678924733477755,0.0611800612547622,0.0578932203570704
"19",0.522767776153329,0.242681976800026,0.248626036475397,0.224839126212556,0.21417823641777,0.152315195236215,0.0887980620444577,18,0.0582240387591108,0.06868216888813,0.0691837322718687,0.0587682883882741,0.068607467958637,0.0617990118134184,0.0584694846703021
